Entity,Code,Year,Total number of international immigrants
Afghanistan,AFG,1990,57686
Afghanistan,AFG,1995,71522
Afghanistan,AFG,2000,75917
Afghanistan,AFG,2005,87314
Afghanistan,AFG,2010,102276
Afghanistan,AFG,2015,339432
Afghanistan,AFG,2020,144098
Afghanistan,AFG,2024,98110
Africa,,1990,16176915
Africa,,1995,16653698
Africa,,2000,15413140
Africa,,2005,16602802
Africa,,2010,17752216
Africa,,2015,22683929
Africa,,2020,25267356
Africa,,2024,29180440
Albania,ALB,1990,66013
Albania,ALB,1995,71354
Albania,ALB,2000,76695
Albania,ALB,2005,64739
Albania,ALB,2010,52784
Albania,ALB,2015,52031
Albania,ALB,2020,48810
Albania,ALB,2024,46377
Algeria,DZA,1990,273954
Algeria,DZA,1995,262032
Algeria,DZA,2000,250110
Algeria,DZA,2005,197728
Algeria,DZA,2010,217268
Algeria,DZA,2015,239473
Algeria,DZA,2020,250378
Algeria,DZA,2024,259458
American Samoa,ASM,1990,21283
American Samoa,ASM,1995,23098
American Samoa,ASM,2000,24912
American Samoa,ASM,2005,24233
American Samoa,ASM,2010,23555
American Samoa,ASM,2015,23513
American Samoa,ASM,2020,23608
American Samoa,ASM,2024,23684
Andorra,AND,1990,38891
Andorra,AND,1995,44206
Andorra,AND,2000,42147
Andorra,AND,2005,50298
Andorra,AND,2010,52053
Andorra,AND,2015,42264
Andorra,AND,2020,45574
Andorra,AND,2024,48408
Angola,AGO,1990,33517
Angola,AGO,1995,39813
Angola,AGO,2000,46108
Angola,AGO,2005,62331
Angola,AGO,2010,336367
Angola,AGO,2015,632178
Angola,AGO,2020,656434
Angola,AGO,2024,676507
Anguilla,AIA,1990,2570
Anguilla,AIA,1995,3317
Anguilla,AIA,2000,4063
Anguilla,AIA,2005,4684
Anguilla,AIA,2010,5103
Anguilla,AIA,2015,5471
Anguilla,AIA,2020,5715
Anguilla,AIA,2024,5918
Antigua and Barbuda,ATG,1990,12029
Antigua and Barbuda,ATG,1995,17550
Antigua and Barbuda,ATG,2000,23071
Antigua and Barbuda,ATG,2005,24741
Antigua and Barbuda,ATG,2010,26412
Antigua and Barbuda,ATG,2015,28082
Antigua and Barbuda,ATG,2020,29386
Antigua and Barbuda,ATG,2024,30473
Argentina,ARG,1990,1647935
Argentina,ARG,1995,1589660
Argentina,ARG,2000,1543851
Argentina,ARG,2005,1641560
Argentina,ARG,2010,1799680
Argentina,ARG,2015,1856613
Argentina,ARG,2020,1912294
Argentina,ARG,2024,1958039
Armenia,ARM,1990,433541
Armenia,ARM,1995,622042
Armenia,ARM,2000,588242
Armenia,ARM,2005,476812
Armenia,ARM,2010,210873
Armenia,ARM,2015,190896
Armenia,ARM,2020,207139
Armenia,ARM,2024,274645
Aruba,ABW,1990,14444
Aruba,ABW,1995,22274
Aruba,ABW,2000,30104
Aruba,ABW,2005,32540
Aruba,ABW,2010,34328
Aruba,ABW,2015,36114
Aruba,ABW,2020,53593
Aruba,ABW,2024,73494
Asia,,1990,46657270
Asia,,1995,44779342
Asia,,2000,47568162
Asia,,2005,51457579
Asia,,2010,64151786
Asia,,2015,78173152
